date,precipitation_mm
2017-12-28,11.134335563416824
2017-12-29,14.786196652183909
2017-12-30,11.455607161281597
2017-12-31,7.473734013703313
2018-01-01,0.0
2018-01-02,7.064356042472375
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,16.565173319437992
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,6.370752873408068
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,17.12960459930933
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,2.2490106843194537
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,15.432400535630718
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,26.55380429133813
2018-02-20,36.72414355189478
2018-02-21,58.96307067466352
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,20.624718285787434
2018-03-08,0.6614219908372794
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,10.232551519054953
2018-03-16,1.589658929435265
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,6.254224591714742
2018-03-22,3.8063782043524492
2018-03-23,19.733679442570132
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.2898861546099028
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,8.96344036216972
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.4880603162932459
2018-04-06,9.974526951736737
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,28.247967676184643
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,1.7311024703777125
2018-04-20,0.0
2018-04-21,0.2659284379185037
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,2.4279481283233406
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,12.072291374206545
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,3.2360421892397184
2018-05-09,0.0
2018-05-10,0.10209129933864011
2018-05-11,0.0
2018-05-12,6.97383369374971
2018-05-13,2.0650702914129204
2018-05-14,3.9815409733698925
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,4.698764973040919
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,1.0573627562990875
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,3.8610636264639133
2018-06-11,2.6634953759814874
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,1.1949680507130376
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,3.584676793989727
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,0.0
2018-07-27,0.0
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,4.30116441732587
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-04,0.0
2018-08-05,12.453621045137066
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,0.04383126014199645
2018-08-17,0.6321374246970834
2018-08-18,2.739053328094179
2018-08-19,0.006390017667698002
2018-08-20,2.2505098875515606e-06
2018-08-21,0.0
2018-08-22,0.0
2018-08-23,0.0
2018-08-24,0.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,8.242434521041858
2018-09-08,11.969837391935126
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,15.730713043246622
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,4.987124639522914
2018-10-13,7.182016460374855
2018-10-14,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,4.763926426780425
2018-10-18,0.0
2018-10-19,0.0
2018-10-20,0.0
2018-10-21,0.0
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,0.0
2018-10-30,0.061919567123332145
2018-10-31,11.237537761792794
2018-11-01,13.296019930211347
2018-11-02,0.0
2018-11-03,0.0
2018-11-04,0.0
2018-11-05,0.229978241401895
2018-11-06,14.404900790314883
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-10,0.0
2018-11-11,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,3.5499412182893093
2018-11-19,6.180710515124308
2018-11-20,5.917958835918856
2018-11-21,0.48408211531837264
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,5.5597347646134825
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,7.25818560336355
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,1.2777649262223383
2018-12-02,1.8493637539031338
2018-12-03,0.7987369390634391
2018-12-04,2.298770896319686
2018-12-05,5.548091312513007
2018-12-06,0.0
2018-12-07,3.486172085415464
2018-12-08,18.95436302863002
2018-12-09,3.1383971282594723
2018-12-10,0.0
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,6.184704361079966
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,2.604787876287675
2018-12-20,24.738817444319864
2018-12-21,5.12740212473376
2018-12-22,2.6054477451334592
2018-12-23,5.590023333366523
2018-12-24,1.0593856887728845
2018-12-25,0.18429310987419414
2018-12-26,2.737766180599189
2018-12-27,0.0
2018-12-28,2.791036542593959
2018-12-29,0.0
2018-12-30,1.7532265112528649
2018-12-31,5.081321113832645
2019-01-01,15.26755581104471
2019-01-02,18.82222073569328
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,21.848757710950135
2019-01-06,0.4063585485429706
2019-01-07,0.0
2019-01-08,6.972213789385891
2019-01-09,0.0
2019-01-10,4.975063796595702
2019-01-11,1.8794074648782075
2019-01-12,0.0
2019-01-13,13.463208646293662
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
